Sample,Location,File,Reads,Path,Loc
LWSH_051,LWSH,LWSH_051_R1.sort.flt.bam,374500,/home/maccamp/data/longfin/LWSH_051_R1.sort.flt.bam,LWSH
LWSH_052,LWSH,LWSH_052_R1.sort.flt.bam,511068,/home/maccamp/data/longfin/LWSH_052_R1.sort.flt.bam,LWSH
LWSH_053,LWSH,LWSH_053_R1.sort.flt.bam,1945314,/home/maccamp/data/longfin/LWSH_053_R1.sort.flt.bam,LWSH
LWSH_057,LWSH,LWSH_057_R1.sort.flt.bam,794991,/home/maccamp/data/longfin/LWSH_057_R1.sort.flt.bam,LWSH
LWSH_058,LWSH,LWSH_058_R1.sort.flt.bam,1236615,/home/maccamp/data/longfin/LWSH_058_R1.sort.flt.bam,LWSH
LWSH_060,LWSH,LWSH_060_R1.sort.flt.bam,829514,/home/maccamp/data/longfin/LWSH_060_R1.sort.flt.bam,LWSH
LWSH_068,LWSH,LWSH_068_R1.sort.flt.bam,1957174,/home/maccamp/data/longfin/LWSH_068_R1.sort.flt.bam,LWSH
LWSH_076,LWSH,LWSH_076_R1.sort.flt.bam,1572599,/home/maccamp/data/longfin/LWSH_076_R1.sort.flt.bam,LWSH
LWSH_080,LWSH,LWSH_080_R1.sort.flt.bam,1003439,/home/maccamp/data/longfin/LWSH_080_R1.sort.flt.bam,LWSH
LWSH_084,LWSH,LWSH_084_R1.sort.flt.bam,226257,/home/maccamp/data/longfin/LWSH_084_R1.sort.flt.bam,LWSH
LWSH_090,LWSH,LWSH_090_R1.sort.flt.bam,464301,/home/maccamp/data/longfin/LWSH_090_R1.sort.flt.bam,LWSH
LWSH_091,LWSH,LWSH_091_R1.sort.flt.bam,1015463,/home/maccamp/data/longfin/LWSH_091_R1.sort.flt.bam,LWSH
LWSH_102,LWSH,LWSH_102_R1.sort.flt.bam,855992,/home/maccamp/data/longfin/LWSH_102_R1.sort.flt.bam,LWSH
PETA_064,PETA,PETA_064_R1.sort.flt.bam,275687,/home/maccamp/data/longfin/PETA_064_R1.sort.flt.bam,PETA
PETA_065,PETA,PETA_065_R1.sort.flt.bam,737210,/home/maccamp/data/longfin/PETA_065_R1.sort.flt.bam,PETA
PETA_066,PETA,PETA_066_R1.sort.flt.bam,284840,/home/maccamp/data/longfin/PETA_066_R1.sort.flt.bam,PETA
PETA_067,PETA,PETA_067_R1.sort.flt.bam,543833,/home/maccamp/data/longfin/PETA_067_R1.sort.flt.bam,PETA
PETA_068,PETA,PETA_068_R1.sort.flt.bam,616978,/home/maccamp/data/longfin/PETA_068_R1.sort.flt.bam,PETA
PETA_069,PETA,PETA_069_R1.sort.flt.bam,662145,/home/maccamp/data/longfin/PETA_069_R1.sort.flt.bam,PETA
PTLC_006,PTLC,PTLC_006_R1.sort.flt.bam,173331,/home/maccamp/data/longfin/PTLC_006_R1.sort.flt.bam,PTLC
PTLC_010,PTLC,PTLC_010_R1.sort.flt.bam,167574,/home/maccamp/data/longfin/PTLC_010_R1.sort.flt.bam,PTLC
PTLC_014,PTLC,PTLC_014_R1.sort.flt.bam,164257,/home/maccamp/data/longfin/PTLC_014_R1.sort.flt.bam,PTLC
PTLC_016,PTLC,PTLC_016_R1.sort.flt.bam,280764,/home/maccamp/data/longfin/PTLC_016_R1.sort.flt.bam,PTLC
PTLC_021,PTLC,PTLC_021_R1.sort.flt.bam,352020,/home/maccamp/data/longfin/PTLC_021_R1.sort.flt.bam,PTLC
PTLC_022,PTLC,PTLC_022_R1.sort.flt.bam,328503,/home/maccamp/data/longfin/PTLC_022_R1.sort.flt.bam,PTLC
PTLC_024,PTLC,PTLC_024_R1.sort.flt.bam,345180,/home/maccamp/data/longfin/PTLC_024_R1.sort.flt.bam,PTLC
SFBY_075,SFBY,SFBY_075_R1.sort.flt.bam,684288,/home/maccamp/data/longfin/SFBY_075_R1.sort.flt.bam,SFBY
SFBY_076,SFBY,SFBY_076_R1.sort.flt.bam,330507,/home/maccamp/data/longfin/SFBY_076_R1.sort.flt.bam,SFBY
SFBY_077,SFBY,SFBY_077_R1.sort.flt.bam,350872,/home/maccamp/data/longfin/SFBY_077_R1.sort.flt.bam,SFBY
SFBY_078,SFBY,SFBY_078_R1.sort.flt.bam,284946,/home/maccamp/data/longfin/SFBY_078_R1.sort.flt.bam,SFBY
SFBY_079,SFBY,SFBY_079_R1.sort.flt.bam,703083,/home/maccamp/data/longfin/SFBY_079_R1.sort.flt.bam,SFBY
SFBY_080,SFBY,SFBY_080_R1.sort.flt.bam,483544,/home/maccamp/data/longfin/SFBY_080_R1.sort.flt.bam,SFBY
SFBY_081,SFBY,SFBY_081_R1.sort.flt.bam,502841,/home/maccamp/data/longfin/SFBY_081_R1.sort.flt.bam,SFBY
SFBY_083,SFBY,SFBY_083_R1.sort.flt.bam,494349,/home/maccamp/data/longfin/SFBY_083_R1.sort.flt.bam,SFBY
SFBY_086,SFBY,SFBY_086_R1.sort.flt.bam,645071,/home/maccamp/data/longfin/SFBY_086_R1.sort.flt.bam,SFBY
SFBY_088,SFBY,SFBY_088_R1.sort.flt.bam,566511,/home/maccamp/data/longfin/SFBY_088_R1.sort.flt.bam,SFBY
SFBY_089,SFBY,SFBY_089_R1.sort.flt.bam,621522,/home/maccamp/data/longfin/SFBY_089_R1.sort.flt.bam,SFBY
SFBY_090,SFBY,SFBY_090_R1.sort.flt.bam,445780,/home/maccamp/data/longfin/SFBY_090_R1.sort.flt.bam,SFBY
SFBY_132,SFBY,SFBY_132_R1.sort.flt.bam,519280,/home/maccamp/data/longfin/SFBY_132_R1.sort.flt.bam,SFBY
SFBY_134,SFBY,SFBY_134_R1.sort.flt.bam,170076,/home/maccamp/data/longfin/SFBY_134_R1.sort.flt.bam,SFBY
SFBY_135,SFBY,SFBY_135_R1.sort.flt.bam,399537,/home/maccamp/data/longfin/SFBY_135_R1.sort.flt.bam,SFBY
SFBY_137,SFBY,SFBY_137_R1.sort.flt.bam,229611,/home/maccamp/data/longfin/SFBY_137_R1.sort.flt.bam,SFBY
SFBY_142,SFBY,SFBY_142_R1.sort.flt.bam,521560,/home/maccamp/data/longfin/SFBY_142_R1.sort.flt.bam,SFBY
SFBY_144,SFBY,SFBY_144_R1.sort.flt.bam,391570,/home/maccamp/data/longfin/SFBY_144_R1.sort.flt.bam,SFBY
SFBY_146,SFBY,SFBY_146_R1.sort.flt.bam,247772,/home/maccamp/data/longfin/SFBY_146_R1.sort.flt.bam,SFBY
SFBY_148,SFBY,SFBY_148_R1.sort.flt.bam,373469,/home/maccamp/data/longfin/SFBY_148_R1.sort.flt.bam,SFBY
SKNA_043,SKNA,SKNA_043_R1.sort.flt.bam,311513,/home/maccamp/data/longfin/SKNA_043_R1.sort.flt.bam,SKNA
SKNA_044,SKNA,SKNA_044_R1.sort.flt.bam,378749,/home/maccamp/data/longfin/SKNA_044_R1.sort.flt.bam,SKNA
SKNA_045,SKNA,SKNA_045_R1.sort.flt.bam,1213414,/home/maccamp/data/longfin/SKNA_045_R1.sort.flt.bam,SKNA
SKNA_046,SKNA,SKNA_046_R1.sort.flt.bam,1587961,/home/maccamp/data/longfin/SKNA_046_R1.sort.flt.bam,SKNA
SKNA_047,SKNA,SKNA_047_R1.sort.flt.bam,794029,/home/maccamp/data/longfin/SKNA_047_R1.sort.flt.bam,SKNA
SKNA_048,SKNA,SKNA_048_R1.sort.flt.bam,1083029,/home/maccamp/data/longfin/SKNA_048_R1.sort.flt.bam,SKNA
SKNA_049,SKNA,SKNA_049_R1.sort.flt.bam,198312,/home/maccamp/data/longfin/SKNA_049_R1.sort.flt.bam,SKNA
SKNA_050,SKNA,SKNA_050_R1.sort.flt.bam,1051398,/home/maccamp/data/longfin/SKNA_050_R1.sort.flt.bam,SKNA
SKNA_051,SKNA,SKNA_051_R1.sort.flt.bam,1400257,/home/maccamp/data/longfin/SKNA_051_R1.sort.flt.bam,SKNA
